x,y
21.773745,-13.7551365
16.899721,-5.547338
20.15248,-10.796042
15.160849,7.9152703
19.53018,-5.100083
12.22331,4.9065657
14.989627,-6.3115277
10.479857,4.551741
12.004146,3.9467583
14.0451355,6.854407
1.3565102,-9.56468
10.881263,-0.20568682
25.04876,-14.675934
4.822815,-5.711606
13.869003,5.6936784
12.73834,3.7727616
1.8382864,-7.5220065
13.671383,1.9849353
18.706717,-7.3580756
-3.1245236,1.1784259
-1.3321713,2.9965007
-14.820441,5.615064
16.97375,6.145101
18.274445,-7.426427
19.920137,-8.807649
21.836418,-13.231075
11.924888,3.0682034
21.832382,-4.7582765
11.911479,1.317096
18.443914,-3.4905
21.188086,-10.089538
12.016775,5.5187616
15.505827,-1.1614032
16.351837,-10.096563
10.648425,0.60328543
10.308158,-1.3909085
8.353405,0.83608603
-22.199575,-5.3540635
-2.7919388,-6.2037287
6.3620524,1.9175075
-9.562317,-9.946633
7.208031,4.802857
24.293484,-15.319304
8.953322,1.7082884
5.1093707,0.7945954
19.47007,-11.370314
-17.758148,5.8984256
10.756653,3.374491
-6.4941645,4.3595805
-3.848778,-8.965657
-19.156961,-2.8966825
-12.471555,-6.8419166
-12.292271,1.499726
20.744406,-3.7700384
1.4801154,-7.8677664
-12.065998,3.394076
19.840185,-8.310062
10.073946,1.6947609
-19.76057,-3.7799659
-18.100536,9.63935
-9.10032,10.81571
-11.8005495,12.481721
15.4371195,3.7514746
-8.059609,12.40964
9.866766,3.618808
10.018046,2.426209
-11.895732,11.143831
-16.530342,-0.86404556
6.6794257,15.346718
-13.223119,0.10190035
17.874031,-5.642424
3.4099495,16.010208
15.90789,1.5614457
1.7752194,1.9583001
-10.913634,-1.243015
17.75894,-2.7250001
-6.9981527,9.988078
21.617739,-12.467761
23.282564,-15.955519
-8.326283,0.8440528
-11.602016,11.037454
8.725561,3.1109514
25.278133,-12.293598
25.52967,-5.6338105
-9.326359,2.7960842
20.603441,-4.532413
5.157119,-4.24033
15.492065,-7.9736886
-3.7972682,3.786783
5.964397,7.2571764
-4.9418135,-8.722038
4.7435474,-5.749497
-14.123969,-9.647715
-7.9765477,-3.7945302
13.932438,-0.6637548
22.169191,-6.9636636
-11.478387,6.4447618
-14.180409,10.101335
-14.726061,1.8593507
5.1309853,-2.293245
0.24577686,-8.558505
-16.747866,9.973227
-7.692586,-9.547994
-5.0451055,10.624467
-10.157282,6.691223
13.0010805,4.8618145
-4.394714,10.413429
-10.24274,-2.6023996
22.627193,-14.747745
-5.5264087,2.030272
-10.9279585,13.846945
-1.0063512,13.731949
6.131021,14.335627
-2.3625696,13.835071
-18.420307,10.539569
-6.0333276,2.3525076
0.32517454,15.305852
12.962119,1.8716644
14.476046,2.6609445
19.64364,-0.0502225
-14.787529,1.9464656
20.509762,-5.0099816
23.089958,-14.937526
-1.3580395,1.2212092
2.1362913,6.4327126
-12.654187,-5.375901
4.978477,-0.4231582
20.055014,-2.0628722
6.083456,7.58723
17.987913,-9.939784
-4.841144,7.754648
13.913518,-3.899246
12.366812,-4.021154
-2.2011006,-1.0575079
15.488981,-6.3984356
-6.3703737,-6.9650946
-3.2959597,-4.8869977
-11.566141,-0.63341194
23.616188,-2.2297428
-6.527684,13.974405
-18.016235,3.9802523
18.659481,-3.0873864
-12.265392,8.8427925
-7.6356297,-0.23607099
-17.408539,-4.2062416
-3.5176218,14.800347
16.845728,7.4009886
1.8300515,10.002995
0.15613103,0.028200565
-13.067342,-7.832632
-8.897434,9.429923
3.7575657,13.339402
6.705941,15.914524
-15.208149,4.1337657
-3.7704647,7.2586484
-9.817853,1.3648813
21.07483,-5.654743
-2.4429274,-8.743032
-14.4222975,-1.4087238
-17.082878,-3.6719594
-1.808501,11.155557
23.613699,-3.4150205
19.954254,-10.415948
-4.037605,12.152928
19.433598,-7.5050254
-12.073916,-9.178295
-15.900873,0.85727596
18.971344,-2.5178509
22.608875,-9.187184
-8.952017,-4.18954
-7.699702,6.262336
1.1284233,-7.6417427
12.955255,0.5134899
-10.967809,14.576399
-19.406336,2.5185864
-18.456463,4.656411
4.134485,15.760359
13.37915,-0.505145
-17.091785,-9.506327
-15.439287,-5.4011097
26.23649,-11.29143
20.124811,-14.193405
10.475783,-4.9770403
2.4644732,7.692101
4.460642,0.3150805
-16.937012,7.4071016
12.584277,-6.2155933
-12.571009,-0.06721593
-12.971665,6.3249197
-15.78849,-3.8149972
15.132789,7.3114166
-3.8157284,-6.2385025
-23.975689,-3.84949
9.759435,4.887145
16.739088,3.5495005
-9.795499,-1.1183174
10.4553385,7.567338
20.907326,-1.555057
15.852688,-8.775765
9.247386,0.25833106
-4.716236,4.033371
13.985498,-5.583615
24.159456,-12.804198
13.135187,3.0244622
-3.6837535,4.779047
2.5918484,1.1685615
-10.893154,8.509352
19.217522,-1.524418
8.021793,2.047808
-12.894948,-11.082926
23.723219,-4.4107857
-11.351032,-2.027498
28.390131,-10.599138
0.9582157,15.975167
9.992634,6.38556
8.890074,2.8322532
-0.6883722,11.577832
-9.55478,5.1525598
21.610563,-7.51611
14.612059,-10.409299
-14.769262,-0.021883368
-1.1387959,2.3060632
-10.679289,8.720847
9.737711,0.6376896
-11.436967,-5.417459
-3.377679,0.3280647
-16.2299,3.8309364
0.5996976,-0.8501309
0.3436244,-4.1988807
11.913476,4.3566403
13.849598,-1.8715577
-8.147799,-12.319889
-7.313206,-13.1766615
14.761113,-9.4880705
-16.484976,6.282062
-6.3795075,-7.9738383
25.63123,-10.410967
17.9945,-5.0657153
-3.2776756,-12.7989435
13.297263,-9.582856
-10.925028,-4.0006986
-16.509825,-4.825152
4.897969,12.987023
-4.608286,-8.04226
21.448795,-5.9672728
-12.486623,13.031632
-9.135553,-8.09558
5.8887744,11.463062
-5.854295,-3.8671145
-6.965889,6.1121244
23.633781,-11.239424
-12.330449,1.9994804
20.655134,-11.858058
13.812463,-5.121548
16.78645,-7.2896905
1.4527563,0.83502704
22.26248,-9.629277
14.110681,4.109139
23.399704,-13.7697315
11.911842,2.130606
14.595169,-8.81628
1.7870593,-9.675546
22.347187,-3.51834
-10.909559,-9.625153
14.175506,-6.3431935
27.176443,-8.630521
-1.7264072,10.748162
-5.612371,-9.181305
-9.703739,2.7916648
-1.4772716,13.016414
-16.327414,-8.488267
-14.886658,2.7019622
24.377014,-10.349477
-16.189396,7.6560917
2.0287802,-9.624444
-7.510433,14.871029
-18.419168,2.8230782
4.1517344,-8.693956
-12.59453,-8.737647
-8.125246,-2.2533858
17.272558,-9.847618
-12.803222,4.072768
16.875906,-8.037443
12.803819,-0.4940238
2.1661007,7.395451
-19.713295,-3.4768865
2.1970205,10.964563
-17.073938,-7.449983
0.50804275,13.657157
-11.162202,4.3860774
4.4034657,16.131191
1.9538854,-1.4264032
-4.2308245,7.5071673
-10.275698,2.0725453
-14.256517,-1.1526041
-14.868694,-2.8736165
-19.701286,-6.210759
-3.2972505,-5.189331
-13.608553,-8.368713
-14.987284,12.54659
22.78561,-10.610912
0.75392747,8.622069
23.083235,-12.130251
-13.583834,9.272878
-12.06535,-2.0375016
-5.837712,-5.5262346
-14.167074,-4.0335913
-19.392416,4.2715044
-16.676758,-7.5504727
-16.287485,-6.7651334
-10.869211,3.135582
-14.89041,-8.728888
0.049196154,5.650661
-16.901686,1.9020739
-13.191904,14.2614765
-16.879196,-6.1105695
-17.805464,-6.15089
14.54895,-5.700914
5.015157,14.494333
-21.842968,-5.223622
-2.6668665,13.692856
19.693857,-1.8575033
-6.111022,4.885716
19.150003,-13.231001
-13.124634,-2.3878214
-12.697153,0.5854466
-14.768407,-5.172744
-17.244532,-5.348195
13.91481,-3.1409032
8.530645,8.743165
12.513049,-1.5859274
-2.5095499,6.82361
-13.490878,12.851168
-17.14822,-2.4263442
-9.048354,-6.853366
21.95495,-5.2379594
-1.0500218,6.218391
20.981441,-7.989212
-11.581761,8.27612
25.869366,-9.951734
1.3025051,0.22412547
-2.4735913,8.956227
-4.979037,7.396071
23.275883,-6.728413
-7.3329453,7.9885845
-11.357651,14.54492
-9.00174,-6.233804
-3.522349,-1.3748153
-16.017008,5.371144
-8.405769,9.753048
-18.617897,-4.599064
16.772411,6.3540583
26.036896,-11.849897
16.73293,-0.23607486
0.23672687,7.7984614
1.8711953,8.432154
-0.6453407,11.609095
-10.966001,-7.1885295
-8.911391,13.018095
-13.970022,8.447474
-18.339449,-6.412616
-6.5252166,-8.8988905
-8.651436,1.159359
-0.47995758,-7.3072405
-12.776302,-4.351101
17.506449,-5.78138
24.12208,-6.2644444
-9.093271,0.05347929
26.190775,-8.568866
24.771654,-10.560431
10.5280285,-1.3370641
-13.569258,-6.0394773
17.518915,-8.600319
17.431967,-6.5839357
-8.564707,-1.446998
0.2030822,1.6028934
5.7353306,14.694604
-6.9947305,-11.694081
-5.3985224,-0.015124584
13.098214,6.352094
-5.585101,8.585689
-10.909631,1.2759349
2.996958,10.438212
-1.4270425,8.778935
-5.3606853,-1.2502294
-0.4314943,-8.771443
0.40415403,6.123067
-15.075575,-8.046073
2.7319098,14.687169
24.512066,-5.2016788
-15.38561,3.0573175
-15.585882,10.492065
14.428646,0.7586883
19.926912,-12.867863
-9.7134075,7.7192945
-9.861818,-8.075248
2.8527274,-0.91676706
1.8930292,7.1989737
-13.808672,-2.989905
-10.479177,0.4775303
15.090299,2.2258008
-14.591991,-1.7610894
-7.723685,2.9253726
-8.543306,-0.6085457
-19.656439,-5.2414284
-12.891363,9.45955
-2.661653,-1.411886
1.9656464,9.785768
15.0546465,-4.627857
-10.235734,3.7222552
-7.136814,-6.39028
-11.803905,7.4372177
-19.042023,0.048421778
2.9621375,-2.402827
-3.4847822,-10.421847
-9.038029,7.448518
-12.501372,12.851052
22.314241,-11.212543
-14.691584,1.0398958
-13.078372,6.5724316
-8.939974,4.328822
6.4032254,8.135685
-6.191222,6.3453336
1.7100605,-1.6911542
-9.55537,11.185226
-18.525864,-1.3422794
-2.2901876,9.492481
-8.881394,4.1127567
-17.817984,-4.2658067
-18.062588,-5.474874
15.580146,4.5071497
-2.8033168,12.823444
18.431688,-10.809713
21.876749,-6.0910044
-11.599618,-4.8991737
6.5603347,1.6471217
-9.541435,0.9420332
-10.733219,-4.5525203
-7.4912477,-8.442546
-14.096634,-6.8395247
1.3956696,11.789351
10.3076725,-8.471575
-15.531507,-6.235048
-11.52407,5.3311954
13.107442,-5.745064
-3.580034,3.490627
14.050389,-8.947728
-7.4905453,-1.1674262
0.14194721,-5.903553
18.2413,-7.069598
2.8618906,10.575761
16.715252,-4.0286355
-5.0748067,-12.8926325
-1.9490566,0.80146414
-9.319346,-1.3564092
-4.520533,-12.127467
-4.375356,-14.001909
-6.595266,-10.695393
-6.8970547,-10.697618
-6.600818,-12.930921
20.634836,-6.781233
28.3431,-10.616272
-7.6254883,-11.396121
-10.121767,-0.33526564
-11.779707,-6.188098
5.8132696,11.541471
1.3923951,-2.8988981
-17.367872,6.8522797
23.24169,-8.841349
-1.6412346,15.393039
-10.046888,6.0355496
-4.6283016,-10.64588
-4.280116,-1.9148947
-24.53781,-2.8963523
-1.9480158,7.9758635
-5.9051905,-0.6393681
1.4637055,-3.63552
-14.093011,-8.105092
-5.2080936,6.331953
16.793486,4.357021
-11.19768,-2.5786543
-12.202663,-8.153635
-0.7005954,2.5958283
-9.219736,-3.3299518
-0.3741838,0.8320027
5.233803,14.400876
-11.565822,-8.448218
18.70099,-9.638745
-7.1496053,8.148399
-6.6448603,-2.1843746
-7.7143936,-6.9844127
-14.435178,-10.691562
21.179317,-4.246819
-20.665237,-5.034525
-7.9682126,-8.146389
-1.2865202,-7.5823674
3.3554616,2.7134862
-10.026649,-2.0213728
20.001394,-5.5128236
18.711931,-9.258149
-0.7977141,-0.61847764
10.61648,5.021272
-6.959104,8.685099
25.763605,-9.192253
-3.0952966,17.131298
-2.9006715,17.0764
-3.9303744,5.7783937
-3.5675795,15.309709
-2.025422,-2.0413334
14.807697,3.5043147
0.22734836,6.668867
-13.727223,-6.116158
10.725903,2.9050655
-2.73696,-0.7865731
0.3031212,-6.8367195
-8.626507,7.8486533
15.658027,-5.6673136
16.463097,-6.8945804
-2.0236444,4.641506
-6.4579864,8.000886
-4.983951,16.06903
25.30816,-11.060854
-18.265139,-1.6534654
-3.014471,4.502195
-14.424737,8.696847
-18.320276,10.258444
4.0636306,1.6656076
-13.096185,-1.403581
-6.9863853,15.072559
-7.0839252,5.259523
-12.319922,9.315827
-5.1908064,3.0361712
-12.596423,-3.4594862
22.91159,-4.886909
-4.5269623,11.601994
19.767847,-9.820899
5.07789,-2.463174
-1.532709,15.733118
-18.708105,7.631024
3.1469932,13.399052
-3.2343538,13.204613
7.557131,0.27465898
-3.9143193,-9.309093
-5.7446613,-11.462354
-6.590621,1.4140457
-5.4493194,-8.597279
-16.693228,3.6656785
-5.5543633,11.935687
-18.063198,0.28694537
-6.016199,-5.002072
-20.65449,-2.339104
-9.288361,5.3254175
-5.97893,-12.073286
-14.863446,12.620725
-5.447645,-12.53546
-3.6540785,-14.278412
-13.923808,11.549919
-24.41335,-2.5028543
2.0989535,-3.7105687
-3.1104057,-13.856581
-1.4613401,-10.584581
-24.743916,-3.1267793
14.644008,5.601735
23.655327,-12.299012
24.677212,-8.818831
23.011868,-5.7122717
9.959854,-8.506341
20.472239,-14.580139
-21.178932,-1.7526385
